17.960, 0.000, 0.324
19.600, 0.000, 0.318
21.240, 0.000, 0.318
22.880, 0.000, 0.325
24.520, 0.000, 0.318
26.120, 0.000, 0.318
27.760, 0.000, 0.318
29.400, 0.000, 0.325
31.040, 0.000, 0.325
32.680, 0.000, 0.316
34.320, 0.000, 0.229
35.960, 0.000, 1.589
36.000, 0.000, 1.630
36.000, 1.600, 5.381
36.000, 3.240, 9.048
36.000, 4.880, 16.259
36.000, 6.480, 19.871
36.000, 8.120, 27.027
36.000, 9.760, 34.194
36.000, 11.400, 38.074
36.000, 12.000, 39.411
34.960, 12.000, 41.722
33.320, 12.000, 41.818
31.680, 12.000, 41.818
30.040, 12.000, 41.819
28.400, 12.000, 41.818
26.760, 12.000, 41.818
25.160, 12.000, 52.638
23.520, 12.000, 84.369
21.880, 12.000, 117.005
20.240, 12.000, 149.508
18.600, 12.000, 165.061
16.960, 12.000, 179.655
15.320, 12.000, 180.000
13.680, 12.000, 180.000
12.040, 12.000, 180.000
10.400, 12.000, 180.000
8.800, 12.000, 180.000
7.160, 12.000, 180.000
5.520, 12.000, 180.000
3.880, 12.000, 180.000
2.240, 12.000, 180.000
0.600, 12.000, 180.000
0.000, 12.000, 178.752
0.000, 13.040, 176.440
0.000, 14.680, 172.711
0.000, 16.320, 165.569
0.000, 17.960, 161.862
0.000, 19.560, 154.804
0.000, 21.200, 150.496
0.000, 22.840, 143.843
0.000, 24.000, 139.314
0.480, 24.000, 137.444
2.120, 24.000, 136.605
3.760, 24.000, 136.635
5.400, 24.000, 136.635
7.040, 24.000, 136.533
8.680, 24.000, 137.895
10.320, 24.000, 134.634
11.920, 24.000, 103.317
13.560, 24.000, 70.684
15.200, 24.000, 38.202
16.840, 24.000, 20.480
18.480, 24.000, 1.529
20.120, 24.000, 0.200
21.760, 24.000, 0.306
23.400, 24.000, 0.324
25.040, 24.000, 0.325
26.680, 24.000, 0.318
28.280, 24.000, 0.324
29.920, 24.000, 0.324
31.560, 24.000, 0.322
33.200, 24.000, 0.330
34.840, 24.000, 0.914
36.000, 24.000, 1.537
36.000, 24.480, 1.798
36.000, 26.120, 5.386
36.000, 27.760, 12.598
36.000, 29.400, 16.308
36.000, 31.040, 23.543
36.000, 32.640, 27.232
36.000, 34.280, 34.352
36.000, 35.920, 41.602
36.000, 36.000, 41.818
34.440, 36.000, 41.819
32.800, 36.000, 41.818
31.160, 36.000, 41.819
29.520, 36.000, 41.818
27.880, 36.000, 41.818
26.240, 36.000, 41.819
24.600, 36.000, 54.379
23.000, 36.000, 85.835
21.360, 36.000, 118.469
19.720, 36.000, 150.951
18.080, 36.000, 176.896
16.440, 36.000, 179.941
14.800, 36.000, 180.000
13.160, 36.000, 180.001
11.520, 36.000, 180.000
9.880, 36.000, 180.000
8.240, 36.000, 180.000
6.640, 36.000, 180.000
5.000, 36.000, 180.000
3.360, 36.000, 180.000
1.720, 36.000, 180.000
0.080, 36.000, 180.000
